gate_id,train_number,train_name,estimated_crossing_time,prev_station_code,next_station_code,runs_on_days
node/269201602,12081,Train,06:05,BDJ,CLT,MT-TFS-
node/269201602,16306,Train,16:05,BDJ,CLT,MTWTFSS
node/269201602,16330,Train,11:05,BDJ,CLT,--W----
node/269201602,16345,Train,09:40,BDJ,CLT,MTWTFSS
node/269201602,12082,Train,22:41,CLT,BDJ,M-WTF-S
node/269201602,16305,Train,09:51,CLT,BDJ,MTWTFSS
node/269201602,16329,Train,22:41,CLT,BDJ,-T-----
node/269201602,16346,Train,17:11,CLT,BDJ,MTWTFSS
node/269201602,12201,Train,13:50,CAN,CLT,M---F--
node/269201602,12432,Train,17:30,CAN,CLT,-TW---S
node/269201602,20924,Train,13:10,CAN,CLT,M------
node/269201602,22634,Train,13:10,CAN,CLT,----F--
node/269201602,12202,Train,15:36,CLT,CAN,---T--S
node/269201602,12431,Train,22:21,CLT,CAN,-T-TF--
node/269201602,20923,Train,16:31,CLT,CAN,---T---
node/269201602,22633,Train,22:21,CLT,CAN,--W----
node/269201602,12617,Train,14:41,CLT,QLD,MTWTFSS
node/269201602,16307,Train,22:26,CLT,QLD,MTWTFSS
node/269201602,16336,Train,00:11,CLT,QLD,-T-----
node/269201602,16347,Train,06:11,CLT,QLD,MTWTFSS
node/269201602,16527,Train,07:41,CLT,QLD,MTWTFSS
node/269201602,16604,Train,03:31,CLT,QLD,MTWTFSS
node/269201602,16606,Train,12:36,CLT,QLD,MTWTFSS
node/269201602,16629,Train,04:46,CLT,QLD,MTWTFSS
node/269201602,16650,Train,17:01,CLT,QLD,MTWTFSS
node/269201602,16859,Train,17:01,CLT,QLD,MTWTFSS
node/269201602,12618,Train,03:30,QLD,CLT,MTWTFSS
node/269201602,16308,Train,06:35,QLD,CLT,MTWTFSS
node/269201602,16335,Train,21:35,QLD,CLT,----F--
node/269201602,16348,Train,18:20,QLD,CLT,MTWTFSS
node/269201602,16528,Train,19:25,QLD,CLT,MTWTFSS
node/269201602,16603,Train,21:30,QLD,CLT,MTWTFSS
node/269201602,16605,Train,11:05,QLD,CLT,MTWTFSS
node/269201602,16630,Train,22:23,QLD,CLT,MTWTFSS
node/269201602,16649,Train,08:25,QLD,CLT,MTWTFSS
node/269201602,16860,Train,10:50,QLD,CLT,MTWTFSS
node/269201602,16609,Train,09:57,CLT,WH,MTWTFSS
node/269201602,16610,Train,09:55,WH,CLT,MTWTFSS
node/269201602,22113,Train,13:50,TLY,CLT,-T---S-
node/269201602,22114,Train,08:36,CLT,TLY,M--T---
node/288413246,12081,Train,04:51,CAN,TLY,MT-TFS-
node/288413246,12618,Train,02:11,CAN,TLY,MTWTFSS
node/288413246,16306,Train,14:51,CAN,TLY,MTWTFSS
node/288413246,16308,Train,05:11,CAN,TLY,MTWTFSS
node/288413246,16330,Train,09:51,CAN,TLY,--W----
node/288413246,16335,Train,20:06,CAN,TLY,----F--
node/288413246,16345,Train,08:11,CAN,TLY,MTWTFSS
node/288413246,16348,Train,16:56,CAN,TLY,MTWTFSS
node/288413246,16528,Train,18:06,CAN,TLY,MTWTFSS
node/288413246,16603,Train,20:01,CAN,TLY,MTWTFSS
node/288413246,16605,Train,09:36,CAN,TLY,MTWTFSS
node/288413246,16630,Train,20:56,CAN,TLY,MTWTFSS
node/288413246,16649,Train,07:06,CAN,TLY,MTWTFSS
node/288413246,16860,Train,09:21,CAN,TLY,MTWTFSS
node/288413246,22113,Train,12:21,CAN,TLY,-T---S-
node/288413246,12082,Train,00:43,TLY,CAN,M-WTF-S
node/288413246,12617,Train,15:59,TLY,CAN,MTWTFSS
node/288413246,16305,Train,11:45,TLY,CAN,MTWTFSS
node/288413246,16307,Train,00:24,TLY,CAN,MTWTFSS
node/288413246,16329,Train,00:44,TLY,CAN,-T-----
node/288413246,16336,Train,01:34,TLY,CAN,-T-----
node/288413246,16346,Train,18:34,TLY,CAN,MTWTFSS
node/288413246,16347,Train,07:52,TLY,CAN,MTWTFSS
node/288413246,16527,Train,09:40,TLY,CAN,MTWTFSS
