train_number,train_name,station_code,station_name,arrival_time,departure_time,distance_km,day_of_journey,runs_on_days
12075,Train,CLT,Kozhikkode,--,13:45,0.0,1,MTWTFSS
12075,Train,TIR,Tirur,14:19,14:20,41.0,1,MTWTFSS
12075,Train,SRR,Shoranur Jn,14:57,15:00,86.0,1,MTWTFSS
12075,Train,TCR,Thrisur,15:38,15:40,119.0,1,MTWTFSS
12075,Train,AWY,Aluva,16:39,16:40,174.0,1,MTWTFSS
12075,Train,ERS,Ernakulam Jn,17:20,17:25,193.0,1,MTWTFSS
12075,Train,SRTL,Cherthala,17:57,17:58,226.0,1,MTWTFSS
12075,Train,ALLP,Alleppey,18:33,18:35,250.0,1,MTWTFSS
12075,Train,KYJ,Kayankulam Jn,19:13,19:15,293.0,1,MTWTFSS
12075,Train,QLN,Kollam Jn,19:50,19:52,334.0,1,MTWTFSS
12075,Train,VAK,Varkalasivagiri,20:13,20:14,358.0,1,MTWTFSS
12075,Train,TVC,Trivandrum Cntl,21:25,--,399.0,1,MTWTFSS
12076,Train,TVC,Trivandrum Cntl,--,05:55,0.0,1,MTWTFSS
12076,Train,VAK,Varkalasivagiri,06:32,06:33,41.0,1,MTWTFSS
12076,Train,QLN,Kollam Jn,06:53,06:55,65.0,1,MTWTFSS
12076,Train,KYJ,Kayankulam Jn,07:27,07:28,106.0,1,MTWTFSS
12076,Train,ALLP,Alleppey,08:05,08:08,149.0,1,MTWTFSS
12076,Train,SRTL,Cherthala,08:28,08:29,173.0,1,MTWTFSS
12076,Train,ERS,Ernakulam Jn,09:10,09:15,206.0,1,MTWTFSS
12076,Train,AWY,Aluva,09:36,09:38,225.0,1,MTWTFSS
12076,Train,TCR,Thrisur,10:23,10:25,280.0,1,MTWTFSS
12076,Train,SRR,Shoranur Jn,11:25,11:28,313.0,1,MTWTFSS
12076,Train,TIR,Tirur,12:05,12:06,358.0,1,MTWTFSS
12076,Train,CLT,Kozhikkode,13:00,--,399.0,1,MTWTFSS
12081,Train,CAN,Kannur,--,04:50,0.0,1,MT-TFS-
12081,Train,TLY,Thalassery,05:09,05:10,21.0,1,MT-TFS-
12081,Train,BDJ,Vadakara,05:27,05:28,43.0,1,MT-TFS-
12081,Train,CLT,Kozhikkode,06:07,06:10,90.0,1,MT-TFS-
12081,Train,TIR,Tirur,06:44,06:45,131.0,1,MT-TFS-
12081,Train,SRR,Shoranur Jn,07:30,07:35,176.0,1,MT-TFS-
12081,Train,TCR,Thrisur,08:13,08:15,208.0,1,MT-TFS-
12081,Train,AWY,Aluva,08:48,08:50,263.0,1,MT-TFS-
12081,Train,ERN,Ernakulam Town,09:30,09:33,280.0,1,MT-TFS-
12081,Train,KTYM,Kottayam,10:25,10:28,342.0,1,MT-TFS-
12081,Train,CGY,Changanaseri,10:44,10:45,360.0,1,MT-TFS-
12081,Train,TRVL,Tiruvalla,10:55,10:56,368.0,1,MT-TFS-
12081,Train,CNGR,Chengannur,11:07,11:08,377.0,1,MT-TFS-
12081,Train,MVLK,Mavelikara,11:19,11:20,389.0,1,MT-TFS-
12081,Train,KYJ,Kayankulam Jn,11:30,11:32,397.0,1,MT-TFS-
12081,Train,QLN,Kollam Jn,12:20,12:23,438.0,1,MT-TFS-
12081,Train,TVC,Trivandrum Cntl,14:10,--,502.0,1,MT-TFS-
12082,Train,TVC,Trivandrum Cntl,--,14:50,0.0,1,M-WTF-S
